"grid_id","cd_mun","adjusted_share_mun_tocr","idsbrazil"
4967,"3138401",0.027958822221573112,"""-42p25.-21p25.BRA"""
4889,"3138401",0.2775888910080233,"""-42p75.-21p25.BRA"""
4890,"3138401",0.6271368224515812,"""-42p75.-21p75.BRA"""
4968,"3138401",0.06731546431882748,"""-42p25.-21p75.BRA"""
4734,"3138609",0.8190785440921259,"""-43p75.-21p75.BRA"""
4656,"3138609",0.18092145590787517,"""-44p25.-21p75.BRA"""
5193,"3138906",0.8628921473257517,"""-40p75.-17p25.BRA"""
5192,"3138906",0.1371078526742474,"""-40p75.-16p75.BRA"""
4344,"3139003",0.24693335163289412,"""-46p25.-21p75.BRA"""
4422,"3139003",0.7530666483671055,"""-45p75.-21p75.BRA"""
6032,"2608909",0.9233166891911857,"""-35p25.-7p75.BRA"""
5954,"2608909",0.07668331080881387,"""-35p75.-7p75.BRA"""
4499,"3144607",0.9999999999999957,"""-45p25.-21p25.BRA"""
4494,"3152006",0.10768199888648458,"""-45p25.-18p75.BRA"""
4572,"3152006",0.15064613437315946,"""-44p75.-18p75.BRA"""
4573,"3152006",0.5601475344695576,"""-44p75.-19p25.BRA"""
4495,"3152006",0.1815243322707978,"""-45p25.-19p25.BRA"""
5197,"3154309",0.10461133703003267,"""-40p75.-19p25.BRA"""
5119,"3154309",0.8953886629699682,"""-41p25.-19p25.BRA"""
4732,"3155207",0.4663075073220269,"""-43p75.-20p75.BRA"""
4810,"3155207",0.5336924926779755,"""-43p25.-20p75.BRA"""
4730,"3156700",0.9999999999999967,"""-43p75.-19p75.BRA"""
4263,"3156908",0.08454241618392892,"""-46p75.-20p25.BRA"""
4185,"3156908",0.28588625316506977,"""-47p25.-20p25.BRA"""
4106,"3156908",0.11454679061128178,"""-47p75.-19p75.BRA"""
4184,"3156908",0.4985844617206481,"""-47p25.-19p75.BRA"""
4105,"3156908",0.016440078319071474,"""-47p75.-19p25.BRA"""
4575,"3161809",0.4052633887609412,"""-44p75.-20p25.BRA"""
4574,"3161809",0.5947366112390585,"""-44p75.-19p75.BRA"""
4411,"3164209",0.3092909653114692,"""-45p75.-16p25.BRA"""
4489,"3164209",0.5419173776835574,"""-45p25.-16p25.BRA"""
4412,"3164209",0.09946574904407031,"""-45p75.-16p75.BRA"""
4490,"3164209",0.04932590796090565,"""-45p25.-16p75.BRA"""
4575,"3164605",0.24772490525605076,"""-44p75.-20p25.BRA"""
4497,"3164605",0.7522750947439516,"""-45p25.-20p25.BRA"""
4811,"3167301",1.000000000000001,"""-43p25.-21p25.BRA"""
4027,"3171105",0.13170278270962868,"""-48p25.-19p25.BRA"""
4028,"3171105",0.8404697956840188,"""-48p25.-19p75.BRA"""
3950,"3171105",0.027827421606350086,"""-48p75.-19p75.BRA"""
5880,"2704708",0.05493517308421602,"""-36p25.-9p75.BRA"""
5958,"2704708",0.9450648269157843,"""-35p75.-9p75.BRA"""
3720,"3501103",0.9999999999999998,"""-50p25.-21p75.BRA"""
5726,"2804003",0.9999999999999991,"""-37p25.-10p75.BRA"""
5572,"2900702",0.160555197470454,"""-38p25.-11p75.BRA"""
5573,"2900702",0.7426875607075892,"""-38p25.-12p25.BRA"""
5495,"2900702",0.09675724182195711,"""-38p75.-12p25.BRA"""
5495,"2908507",1.0000000000000016,"""-38p75.-12p25.BRA"""
5420,"2912707",0.27924734532547063,"""-39p25.-13p75.BRA"""
5342,"2912707",0.017051692613895497,"""-39p75.-13p75.BRA"""
5421,"2912707",0.6861992317553811,"""-39p25.-14p25.BRA"""
5343,"2912707",0.017501730305255606,"""-39p75.-14p25.BRA"""
5267,"2916401",0.5773754874281511,"""-40p25.-15p25.BRA"""
5346,"2916401",0.009987229384623559,"""-39p75.-15p75.BRA"""
5345,"2916401",0.4126372831872258,"""-39p75.-15p25.BRA"""
5026,"2922052",0.4615186660226579,"""-41p75.-11p75.BRA"""
5104,"2922052",0.1675131677569096,"""-41p25.-11p75.BRA"""
5105,"2922052",0.2557254805850816,"""-41p25.-12p25.BRA"""
5027,"2922052",0.11524268563535102,"""-41p75.-12p25.BRA"""
5414,"2928000",0.011307899340456791,"""-39p25.-10p75.BRA"""
5415,"2928000",0.5696131201724409,"""-39p25.-11p25.BRA"""
5337,"2928000",0.4190789804871087,"""-39p75.-11p25.BRA"""
5199,"3205036",0.04562185893961861,"""-40p75.-20p25.BRA"""
5200,"3205036",0.4083156715426365,"""-40p75.-20p75.BRA"""
5122,"3205036",0.5153348131704086,"""-41p25.-20p75.BRA"""
5121,"3205036",0.030727656347333616,"""-41p25.-20p25.BRA"""
4890,"3301108",0.0010622162747368096,"""-42p75.-21p75.BRA"""
4968,"3301108",0.9778786161729036,"""-42p25.-21p75.BRA"""
4969,"3301108",0.021059167552354662,"""-42p25.-22p25.BRA"""
5046,"3301157",0.29726574404029726,"""-41p75.-21p75.BRA"""
5124,"3301157",0.34934154078773677,"""-41p25.-21p75.BRA"""
5045,"3301157",0.16735263489786523,"""-41p75.-21p25.BRA"""
5123,"3301157",0.18604008027409769,"""-41p25.-21p25.BRA"""
4736,"3304144",1.0000000000000013,"""-43p75.-22p75.BRA"""
4968,"3305307",0.8462873572100411,"""-42p25.-21p75.BRA"""
5046,"3305307",0.11735976910358592,"""-41p75.-21p75.BRA"""
4969,"3305307",0.03635287368637398,"""-42p25.-22p25.BRA"""
4269,"3507605",0.08698212554758165,"""-46p75.-23p25.BRA"""
4347,"3507605",0.0637724286915731,"""-46p25.-23p25.BRA"""
4268,"3507605",0.64701773805938,"""-46p75.-22p75.BRA"""
4346,"3507605",0.20222770770146606,"""-46p25.-22p75.BRA"""
3882,"4122206",0.1591899319152623,"""-49p25.-24p75.BRA"""
3804,"4122206",0.06539547488967781,"""-49p75.-24p75.BRA"""
3805,"4122206",0.003133838771089118,"""-49p75.-25p25.BRA"""
3883,"4122206",0.7722807544239725,"""-49p25.-25p25.BRA"""
3644,"3516101",1.0,"""-50p75.-22p75.BRA"""
3794,"3544202",0.38672514714434897,"""-49p75.-19p75.BRA"""
3795,"3544202",0.6132748528556504,"""-49p75.-20p25.BRA"""
3639,"3554904",0.9999999999999988,"""-50p75.-20p25.BRA"""
3416,"4119301",0.005572197608602272,"""-52p25.-25p75.BRA"""
3494,"4119301",0.755965607281116,"""-51p75.-25p75.BRA"""
3572,"4119301",0.23581002185267524,"""-51p25.-25p75.BRA"""
3495,"4119301",0.0026521732576069925,"""-51p75.-26p25.BRA"""
3418,"4211850",1.0000000000000027,"""-52p25.-26p75.BRA"""
3261,"4212007",0.9763439716095871,"""-53p25.-26p25.BRA"""
3262,"4212007",0.023656028390410644,"""-53p25.-26p75.BRA"""
3733,"4216503",0.5160201664378321,"""-50p25.-28p25.BRA"""
3811,"4216503",0.4839798335621683,"""-49p75.-28p25.BRA"""
3264,"4302154",1.0000000000000007,"""-53p25.-27p75.BRA"""
2537,"5105622",0.08599921737843477,"""-57p75.-15p25.BRA"""
2459,"5105622",0.07188104254406227,"""-58p25.-15p25.BRA"""
2460,"5105622",0.6317469164172967,"""-58p25.-15p75.BRA"""
2538,"5105622",0.21037282366020907,"""-57p75.-15p75.BRA"""
3350,"4304663",0.612304121071814,"""-52p75.-31p75.BRA"""
3428,"4304663",0.3830872434250609,"""-52p25.-31p75.BRA"""
3429,"4304663",0.004608635503125231,"""-52p25.-32p25.BRA"""
3342,"4306924",1.0000000000000002,"""-52p75.-27p75.BRA"""
2956,"4318101",0.24785180123816827,"""-55p25.-29p75.BRA"""
